priority_ratio,package_ratio,real_package_ratio,total_orders,complete_orders,complete_orders_percentage,orders_with_priority_1,complete_orders_with_priority_1,complete_orders_with_priority_1_percentage,orders_with_priority_2,complete_orders_with_priority_2,complete_orders_with_priority_2_percentage,Total_time_between_order_and_delivery_prio1,Total_time_between_order_and_delivery_prio2,total_wait_time_sec,total_delay_time_sec,total_req_time_sec,total_time_sec,avg_dist_traveled_km,avg_empty_dist_traveled_km,avg_rebl_dist_traveled_km,avg_time_traveled_s,avg_empty_time_traveled_s,avg_rebl_time_traveled_s
1.0,0.55,1.2226277372262773,3654,3304,90.42145593869732,2010,1805,89.80099502487562,1644,1499,91.18004866180048,27.517389658356425,27.4534090504781,1227500.7300000004,2191517.5600000005,2030274.6199999996,5449292.91,390.96889014149497,42.415544858913314,33.222727147577224,77813.43666666672,9010.277333333332,4691.951333333332
1.0,0.60,1.4993160054719563,3654,3289,90.01094690749864,2192,1975,90.10036496350365,1462,1314,89.87688098495212,27.293916708860767,28.061886352105514,1227970.4900000002,2224932.1500000013,1993825.6099999985,5446728.25,393.0564199953717,43.89171974810689,35.93465583596648,77645.78800000002,9073.975,4979.102666666668
1.0,0.65,1.8591549295774648,3654,3311,90.61302681992338,2376,2141,90.10942760942761,1278,1170,91.54929577464789,27.444747703565294,27.166338461538448,1236426.929999999,2166188.5099999984,2030013.8100000003,5432629.249999998,392.4032697512278,45.71238673855195,34.019064596831974,77702.26866666673,9646.20833333333,4740.522999999999
1.0,0.70,2.336986301369863,3654,3302,90.36672140120416,2559,2306,90.11332551778038,1095,996,90.95890410958904,27.822085573865273,28.198969377510018,1240889.1200000017,2280570.3699999936,2013174.6800000025,5534634.169999998,393.2238101533689,41.1565262708129,36.3233097148625,77727.26300000008,8446.143999999998,4979.939333333334
1.0,0.75,2.99781181619256,3654,3328,91.07827038861521,2740,2494,91.02189781021897,914,834,91.2472647702407,27.25631408714249,26.99308473221421,1237556.54,2172423.0600000024,2019389.199999999,5429368.800000002,387.0229680206871,48.31717923035894,32.776690826521296,77621.53400000009,10039.223333333332,4638.913
1.0,0.80,3.9986320109439126,3654,3306,90.47619047619048,2923,2643,90.42080054738283,731,663,90.69767441860465,27.516711502080966,27.045785319255906,1246303.119999999,2184503.6899999985,2008674.6400000018,5439481.449999999,390.1821553167508,45.89431473098843,34.456760437719545,77721.11400000006,9540.099999999999,4883.853999999998
1.0,0.85,5.6923076923076925,3654,3296,90.20251778872469,3108,2806,90.28314028314028,546,490,89.74358974358974,27.575557317652628,28.350649319727893,1238080.5799999998,2227365.429999997,2010683.9099999992,5476129.919999996,391.2050688656805,43.91274915438954,35.50733068556217,77792.19000000008,9103.591333333332,4883.4619999999995
1.0,0.90,9.01095890410959,3654,3270,89.49096880131363,3289,2938,89.32806324110672,365,332,90.95890410958904,27.4089117313365,26.75641214859437,1212217.7399999977,2163107.2399999956,1989305.7100000053,5364630.689999999,392.7399330749338,44.813074563411526,40.54619427764086,77721.34933333339,9265.840999999999,5682.348333333332
1.0,0.95,19.076923076923077,3654,3293,90.12041598248494,3472,3127,90.06336405529954,182,166,91.20879120879121,27.47542868564118,27.851945783132543,1224093.1499999976,2201534.1800000016,2006717.979999999,5432345.309999999,392.625141615655,45.8140576553235,34.83702012092802,77557.6443333334,9362.404000000002,4907.566000000001
1.1,0.05,0.05241935483870968,3654,3345,91.54351395730706,182,164,90.10989010989012,3472,3181,91.61866359447005,27.758734756097567,27.44915252017183,1267159.6099999987,2206364.7999999947,2038566.790000002,5512091.1999999955,396.16066304201775,44.6702894479695,38.57752449772479,77734.38566666671,9396.033333333335,5000.932
