ptime,onid,dnid,prio
2023-03-13 00:00:21.343874,1502.0,2494.0,1
2023-03-13 00:00:42.687748,1779.0,1556.0,1
2023-03-13 00:01:04.031622,2109.0,3279.0,1
2023-03-13 00:01:25.375496,770.0,1791.0,1
2023-03-13 00:01:46.719370,372.0,1413.0,1
2023-03-13 00:02:08.063244,1828.0,1407.0,2
2023-03-13 00:02:29.407118,1366.0,725.0,2
2023-03-13 00:02:50.750992,357.0,1043.0,2
2023-03-13 00:03:12.094866,2085.0,1452.0,2
2023-03-13 00:03:33.438740,1465.0,2877.0,2
2023-03-13 00:03:54.782614,2719.0,2991.0,1
2023-03-13 00:04:16.126488,1246.0,565.0,1
2023-03-13 00:04:37.470362,865.0,1684.0,1
2023-03-13 00:04:58.814236,2365.0,2754.0,1
2023-03-13 00:05:20.158110,1350.0,592.0,2
2023-03-13 00:05:41.501984,2049.0,1081.0,2
2023-03-13 00:06:02.845858,2053.0,3049.0,2
2023-03-13 00:06:24.189732,1785.0,2143.0,2
2023-03-13 00:06:45.533606,1905.0,3130.0,2
2023-03-13 00:07:06.877480,481.0,1188.0,1
2023-03-13 00:07:28.221354,1005.0,1217.0,1
2023-03-13 00:07:49.565228,1395.0,585.0,1
2023-03-13 00:08:10.909102,1025.0,1043.0,1
2023-03-13 00:08:32.252976,1651.0,2183.0,2
2023-03-13 00:08:53.596850,777.0,650.0,2
2023-03-13 00:09:14.940724,551.0,985.0,2
2023-03-13 00:09:36.284598,3133.0,2676.0,2
2023-03-13 00:09:57.628472,1607.0,1094.0,2
2023-03-13 00:10:18.972346,952.0,1440.0,1
2023-03-13 00:10:40.316220,1802.0,1978.0,1
2023-03-13 00:11:01.660094,1029.0,3103.0,1
2023-03-13 00:11:23.003968,833.0,1058.0,1
2023-03-13 00:11:44.347842,306.0,636.0,2
2023-03-13 00:12:05.691716,1670.0,54.0,2
2023-03-13 00:12:27.035590,1741.0,1043.0,2
2023-03-13 00:12:48.379464,1010.0,1887.0,2
2023-03-13 00:13:09.723338,1447.0,2285.0,2
2023-03-13 00:13:31.067212,1791.0,2461.0,1
2023-03-13 00:13:52.411086,1018.0,434.0,1
2023-03-13 00:14:13.754960,646.0,853.0,1
2023-03-13 00:14:35.098834,707.0,1489.0,1
2023-03-13 00:14:56.442708,2032.0,1643.0,2
2023-03-13 00:15:17.786582,1622.0,2931.0,2
2023-03-13 00:15:39.130456,734.0,404.0,2
2023-03-13 00:16:00.474330,47.0,825.0,2
2023-03-13 00:16:21.818204,1587.0,1739.0,2
2023-03-13 00:16:43.162078,1231.0,1364.0,1
2023-03-13 00:17:04.505952,2364.0,1868.0,1
2023-03-13 00:17:25.849826,437.0,3104.0,1
2023-03-13 00:17:47.193700,2023.0,1369.0,1
