ptime,onid,dnid,prio
2023-03-13 00:00:21.343874,1502.0,2494.0,1
2023-03-13 00:00:42.687748,1737.0,696.0,1
2023-03-13 00:01:04.031622,1880.0,1161.0,2
2023-03-13 00:01:25.375496,2579.0,2135.0,2
2023-03-13 00:01:46.719370,3159.0,2129.0,2
2023-03-13 00:02:08.063244,338.0,1064.0,2
2023-03-13 00:02:29.407118,2378.0,2816.0,1
2023-03-13 00:02:50.750992,1615.0,3156.0,2
2023-03-13 00:03:12.094866,639.0,2019.0,2
2023-03-13 00:03:33.438740,2301.0,2190.0,2
2023-03-13 00:03:54.782614,1064.0,2568.0,2
2023-03-13 00:04:16.126488,118.0,2047.0,1
2023-03-13 00:04:37.470362,2458.0,2257.0,2
2023-03-13 00:04:58.814236,1785.0,2180.0,2
2023-03-13 00:05:20.158110,1818.0,1546.0,2
2023-03-13 00:05:41.501984,407.0,868.0,2
2023-03-13 00:06:02.845858,2497.0,3243.0,1
2023-03-13 00:06:24.189732,2845.0,1899.0,2
2023-03-13 00:06:45.533606,471.0,1804.0,2
2023-03-13 00:07:06.877480,338.0,650.0,2
2023-03-13 00:07:28.221354,1999.0,1964.0,2
2023-03-13 00:07:49.565228,2301.0,2388.0,1
2023-03-13 00:08:10.909102,3198.0,1423.0,2
2023-03-13 00:08:32.252976,2014.0,2814.0,2
2023-03-13 00:08:53.596850,2038.0,696.0,2
2023-03-13 00:09:14.940724,2021.0,1432.0,2
2023-03-13 00:09:36.284598,2083.0,1538.0,1
2023-03-13 00:09:57.628472,1551.0,1353.0,2
2023-03-13 00:10:18.972346,1111.0,1654.0,2
2023-03-13 00:10:40.316220,3001.0,2613.0,2
2023-03-13 00:11:01.660094,116.0,883.0,2
2023-03-13 00:11:23.003968,1679.0,11.0,1
2023-03-13 00:11:44.347842,2392.0,1797.0,2
2023-03-13 00:12:05.691716,2110.0,1043.0,2
2023-03-13 00:12:27.035590,1121.0,551.0,2
2023-03-13 00:12:48.379464,1779.0,2447.0,2
2023-03-13 00:13:09.723338,2316.0,2535.0,1
2023-03-13 00:13:31.067212,2301.0,1847.0,2
2023-03-13 00:13:52.411086,624.0,2086.0,2
2023-03-13 00:14:13.754960,372.0,1413.0,2
2023-03-13 00:14:35.098834,1814.0,1010.0,2
2023-03-13 00:14:56.442708,1853.0,1689.0,1
2023-03-13 00:15:17.786582,1154.0,2144.0,2
2023-03-13 00:15:39.130456,2517.0,1698.0,2
2023-03-13 00:16:00.474330,1587.0,959.0,2
2023-03-13 00:16:21.818204,865.0,1494.0,2
2023-03-13 00:16:43.162078,133.0,1024.0,1
2023-03-13 00:17:04.505952,372.0,524.0,2
2023-03-13 00:17:25.849826,1468.0,1124.0,2
2023-03-13 00:17:47.193700,2441.0,3577.0,2
2023-03-13 00:18:08.537574,892.0,1185.0,2
2023-03-13 00:18:29.881448,857.0,2589.0,1
2023-03-13 00:18:51.225322,1107.0,1943.0,2
2023-03-13 00:19:12.569196,1333.0,769.0,2
2023-03-13 00:19:33.913070,1005.0,1202.0,2
2023-03-13 00:19:55.256944,1634.0,3196.0,2
2023-03-13 00:20:16.600818,2021.0,488.0,1
2023-03-13 00:20:37.944692,2306.0,1685.0,2
2023-03-13 00:20:59.288566,649.0,2218.0,2
2023-03-13 00:21:20.632440,1111.0,2055.0,2
2023-03-13 00:21:41.976314,2021.0,283.0,2
2023-03-13 00:22:03.320188,1386.0,2622.0,1
2023-03-13 00:22:24.664062,186.0,2047.0,2
2023-03-13 00:22:46.007936,2299.0,2869.0,2
2023-03-13 00:23:07.351810,2383.0,1954.0,2
2023-03-13 00:23:28.695684,139.0,308.0,2
2023-03-13 00:23:50.039558,1423.0,2415.0,1
2023-03-13 00:24:11.383432,2929.0,2049.0,2
2023-03-13 00:24:32.727306,3179.0,2046.0,2
2023-03-13 00:24:54.071180,1204.0,361.0,2
2023-03-13 00:25:15.415054,1169.0,1782.0,2
2023-03-13 00:25:36.758928,7.0,901.0,1
2023-03-13 00:25:58.102802,263.0,1860.0,2
2023-03-13 00:26:19.446676,1362.0,1349.0,2
2023-03-13 00:26:40.790550,2106.0,1043.0,2
2023-03-13 00:27:02.134424,1562.0,471.0,2
2023-03-13 00:27:23.478298,1577.0,3264.0,1
2023-03-13 00:27:44.822172,2324.0,1036.0,2
2023-03-13 00:28:06.166046,2510.0,3350.0,2
2023-03-13 00:28:27.509920,3043.0,2794.0,2
2023-03-13 00:28:48.853794,832.0,2000.0,2
2023-03-13 00:29:10.197668,2177.0,461.0,1
2023-03-13 00:29:31.541542,1334.0,744.0,2
2023-03-13 00:29:52.885416,498.0,1208.0,2
2023-03-13 00:30:14.229290,970.0,565.0,2
2023-03-13 00:30:35.573164,1163.0,1566.0,2
2023-03-13 00:30:56.917038,973.0,454.0,1
2023-03-13 00:31:18.260912,963.0,1631.0,2
2023-03-13 00:31:39.604786,232.0,1959.0,2
2023-03-13 00:32:00.948660,1773.0,1461.0,2
2023-03-13 00:32:22.292534,892.0,1489.0,2
2023-03-13 00:32:43.636408,1029.0,3103.0,1
2023-03-13 00:33:04.980282,707.0,1489.0,2
2023-03-13 00:33:26.324156,1223.0,2984.0,2
2023-03-13 00:33:47.668030,1872.0,643.0,2
2023-03-13 00:34:09.011904,464.0,1966.0,2
2023-03-13 00:34:30.355778,1678.0,1507.0,1
2023-03-13 00:34:51.699652,2887.0,2859.0,2
2023-03-13 00:35:13.043526,914.0,1239.0,2
2023-03-13 00:35:34.387400,973.0,1914.0,2
2023-03-13 00:35:55.731274,1272.0,1208.0,2
2023-03-13 00:36:17.075148,2211.0,1447.0,1
2023-03-13 00:36:38.419022,2491.0,1840.0,2
2023-03-13 00:36:59.762896,728.0,1453.0,2
2023-03-13 00:37:21.106770,177.0,238.0,2
2023-03-13 00:37:42.450644,1301.0,1351.0,2
2023-03-13 00:38:03.794518,1670.0,191.0,1
2023-03-13 00:38:25.138392,2363.0,2923.0,2
2023-03-13 00:38:46.482266,2314.0,3352.0,2
2023-03-13 00:39:07.826140,2729.0,3303.0,2
2023-03-13 00:39:29.170014,580.0,787.0,2
2023-03-13 00:39:50.513888,1649.0,162.0,1
2023-03-13 00:40:11.857762,2740.0,2511.0,2
2023-03-13 00:40:33.201636,1005.0,1841.0,2
2023-03-13 00:40:54.545510,892.0,901.0,2
2023-03-13 00:41:15.889384,1628.0,1820.0,2
