ptime,onid,dnid,prio
2023-03-13 00:00:21.343874,1502.0,2494.0,1
2023-03-13 00:00:42.687748,1023.0,1107.0,1
2023-03-13 00:01:04.031622,2482.0,2121.0,1
2023-03-13 00:01:25.375496,2659.0,1878.0,1
2023-03-13 00:01:46.719370,248.0,1556.0,1
2023-03-13 00:02:08.063244,1826.0,1081.0,1
2023-03-13 00:02:29.407118,3001.0,2613.0,1
2023-03-13 00:02:50.750992,3218.0,1701.0,1
2023-03-13 00:03:12.094866,95.0,780.0,1
2023-03-13 00:03:33.438740,901.0,1710.0,1
2023-03-13 00:03:54.782614,2715.0,1806.0,1
2023-03-13 00:04:16.126488,60.0,1148.0,1
2023-03-13 00:04:37.470362,261.0,115.0,1
2023-03-13 00:04:58.814236,2080.0,1150.0,1
2023-03-13 00:05:20.158110,1229.0,1288.0,2
2023-03-13 00:05:41.501984,735.0,929.0,2
2023-03-13 00:06:02.845858,1566.0,1649.0,2
2023-03-13 00:06:24.189732,376.0,562.0,2
2023-03-13 00:06:45.533606,2055.0,1579.0,2
2023-03-13 00:07:06.877480,2495.0,1929.0,2
2023-03-13 00:07:28.221354,1361.0,152.0,2
2023-03-13 00:07:49.565228,726.0,1042.0,2
2023-03-13 00:08:10.909102,2364.0,1868.0,2
2023-03-13 00:08:32.252976,1793.0,2346.0,2
2023-03-13 00:08:53.596850,2172.0,1081.0,2
2023-03-13 00:09:14.940724,973.0,1517.0,2
2023-03-13 00:09:36.284598,203.0,988.0,2
2023-03-13 00:09:57.628472,1333.0,769.0,2
2023-03-13 00:10:18.972346,1959.0,2444.0,2
2023-03-13 00:10:40.316220,2181.0,1785.0,2
2023-03-13 00:11:01.660094,966.0,2150.0,2
2023-03-13 00:11:23.003968,2618.0,1072.0,2
2023-03-13 00:11:44.347842,1840.0,1843.0,2
2023-03-13 00:12:05.691716,1571.0,1997.0,2
2023-03-13 00:12:27.035590,2756.0,1597.0,1
2023-03-13 00:12:48.379464,2272.0,2760.0,1
2023-03-13 00:13:09.723338,963.0,1032.0,1
2023-03-13 00:13:31.067212,323.0,82.0,1
2023-03-13 00:13:52.411086,133.0,152.0,1
2023-03-13 00:14:13.754960,361.0,969.0,1
2023-03-13 00:14:35.098834,2936.0,1978.0,1
2023-03-13 00:14:56.442708,2069.0,60.0,1
2023-03-13 00:15:17.786582,2484.0,2596.0,1
2023-03-13 00:15:39.130456,2461.0,2788.0,1
2023-03-13 00:16:00.474330,1388.0,3136.0,1
2023-03-13 00:16:21.818204,1562.0,471.0,1
2023-03-13 00:16:43.162078,1356.0,239.0,1
2023-03-13 00:17:04.505952,2124.0,2792.0,2
2023-03-13 00:17:25.849826,1598.0,2195.0,2
2023-03-13 00:17:47.193700,1514.0,2961.0,2
2023-03-13 00:18:08.537574,2423.0,2788.0,2
2023-03-13 00:18:29.881448,410.0,901.0,2
2023-03-13 00:18:51.225322,1204.0,361.0,2
2023-03-13 00:19:12.569196,1622.0,3914.0,2
2023-03-13 00:19:33.913070,1365.0,2800.0,2
2023-03-13 00:19:55.256944,2200.0,706.0,2
2023-03-13 00:20:16.600818,2529.0,967.0,2
2023-03-13 00:20:37.944692,1005.0,1217.0,2
2023-03-13 00:20:59.288566,2738.0,2800.0,2
2023-03-13 00:21:20.632440,748.0,662.0,2
2023-03-13 00:21:41.976314,494.0,3198.0,2
2023-03-13 00:22:03.320188,1039.0,978.0,2
2023-03-13 00:22:24.664062,1634.0,1388.0,2
2023-03-13 00:22:46.007936,2096.0,1219.0,2
2023-03-13 00:23:07.351810,1117.0,765.0,2
2023-03-13 00:23:28.695684,2115.0,1025.0,2
2023-03-13 00:23:50.039558,884.0,669.0,2
2023-03-13 00:24:11.383432,1781.0,2118.0,1
2023-03-13 00:24:32.727306,2177.0,2478.0,1
2023-03-13 00:24:54.071180,2664.0,2788.0,1
2023-03-13 00:25:15.415054,373.0,602.0,1
2023-03-13 00:25:36.758928,1605.0,1081.0,1
2023-03-13 00:25:58.102802,1049.0,2501.0,1
2023-03-13 00:26:19.446676,1954.0,1843.0,1
2023-03-13 00:26:40.790550,1768.0,2350.0,1
2023-03-13 00:27:02.134424,3532.0,1761.0,1
2023-03-13 00:27:23.478298,1059.0,2990.0,1
2023-03-13 00:27:44.822172,3159.0,2129.0,1
2023-03-13 00:28:06.166046,1678.0,2186.0,1
2023-03-13 00:28:27.509920,1773.0,2037.0,1
2023-03-13 00:28:48.853794,1340.0,813.0,2
2023-03-13 00:29:10.197668,2991.0,1574.0,2
2023-03-13 00:29:31.541542,705.0,865.0,2
2023-03-13 00:29:52.885416,2774.0,1774.0,2
2023-03-13 00:30:14.229290,946.0,1892.0,2
2023-03-13 00:30:35.573164,1713.0,1831.0,2
2023-03-13 00:30:56.917038,1008.0,901.0,2
2023-03-13 00:31:18.260912,3352.0,2756.0,2
2023-03-13 00:31:39.604786,1079.0,3003.0,2
2023-03-13 00:32:00.948660,2598.0,2671.0,2
2023-03-13 00:32:22.292534,2718.0,1269.0,2
2023-03-13 00:32:43.636408,2000.0,2452.0,2
2023-03-13 00:33:04.980282,658.0,592.0,2
2023-03-13 00:33:26.324156,1427.0,1524.0,2
2023-03-13 00:33:47.668030,1822.0,1657.0,2
2023-03-13 00:34:09.011904,2187.0,1301.0,2
2023-03-13 00:34:30.355778,1449.0,2404.0,2
2023-03-13 00:34:51.699652,1726.0,2033.0,2
2023-03-13 00:35:13.043526,1628.0,1820.0,2
2023-03-13 00:35:34.387400,2467.0,3136.0,2
2023-03-13 00:35:55.731274,2751.0,3253.0,1
2023-03-13 00:36:17.075148,1882.0,892.0,1
2023-03-13 00:36:38.419022,1781.0,2520.0,1
2023-03-13 00:36:59.762896,426.0,2383.0,1
2023-03-13 00:37:21.106770,537.0,431.0,1
2023-03-13 00:37:42.450644,657.0,1748.0,1
2023-03-13 00:38:03.794518,705.0,44.0,1
2023-03-13 00:38:25.138392,1695.0,2872.0,1
2023-03-13 00:38:46.482266,1039.0,578.0,1
2023-03-13 00:39:07.826140,1724.0,3027.0,1
2023-03-13 00:39:29.170014,1080.0,577.0,1
2023-03-13 00:39:50.513888,2301.0,4040.0,1
2023-03-13 00:40:11.857762,1495.0,1867.0,1
2023-03-13 00:40:33.201636,952.0,1306.0,2
